Run 1
Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),10-min Concentrations (mg/m3) 50,10-min Concentrations (mg/m3) 100,10-min Concentrations (mg/m3) 200,2-Post Number,3-min Concentrations (mg/m3) 50,3-min Concentrations (mg/m3) 100,3-min Concentrations (mg/m3) 200,3-Post Number,0.5-min Concentrations (mg/m3) 50,0.5-min Concentrations (mg/m3) 100,0.5-min Concentrations (mg/m3) 200,4-Post Number,Height (m),10-min Vertical Samples Concentrations (mg/m3) 50,10-min Vertical Samples Concentrations (mg/m3) 100,10-min Vertical Samples Concentrations (mg/m3) 200
72,1.5,129,10.83,205,59.1,20.1,72,299.0,67.7,18.8,72,56.4,14.9,2.5,,,,,
73,1.5,130.5,,,,,73,229.0,60.3,15.9,73,13.0,5.7,1.18,,,,,
74,1.5,132,9.17,136,44.8,10.3,74,157.0,53,11.9,74,13.2,0.8,,,,,,
75,1.5,133.5,,,,,75,118.0,40,5.1,75,4.2,,,,,,,
76,1.5,135,5.42,110,25.4,3.24,76,99.0,29.2,2.64,76,0.72,,,76,2.5,80.9,25.9,-99
77,1.5,136.5,,,,,77,102.0,23.6,1.37,77,,,,,1,125,,
78,1.5,138,7.5,86.5,13.3,0.855,78,99.0,16.4,0.307,78,,,,,0.5,140,25.6,3.65
79,1.5,139.5,,,,,79,69.0,11.3,0.143,79,,,,,,,,
80,1.5,141,6.25,39.3,3.84,0.102,80,41.7,3.1,,80,,,,,,,,
81,1.5,142.5,,,,,81,38.7,0.163,,81,,,,,,,,
82,1.5,144,4.58,16.8,0.509,,82,24.3,,,82,,,,,,,,
83,1.5,145.5,,,,,83,9.23,,,83,,,,,,,,
84,1.5,147,2.92,6.01,0.179,,84,9.13,,,84,,,,,,,,
85,1.5,148.5,,,,,85,4.1,,,85,,,,,,,,
86,1.5,150,2.08,2.87,0.061,,86,2.02,,,86,,,,86,2.5,2.71,-99.0,
87,1.5,151.5,,,,,87,,,,87,,,,,1,2.41,,
88,1.5,153,1.66,0.706,,,88,,,,88,,,,,0.5,2.19,0.115,
89,1.5,154.5,,,,,89,,,,89,,,,,,,,
90,1.5,156,,0.072,,,90,,,,90,,,,,,,,
91,1.5,157.5,,,,,91,,,,91,,,,,,,,
92,1.5,159,0.42,0.047,,,92,,,,92,,,,,,,,
93,1.5,160.5,,,,,93,,,,93,,,,,,,,
94,1.5,162,,0.031,,,94,,,,94,,,,,,,,
95,1.5,163.5,,,,,95,,,,95,,,,,,,,
Run 4
27,1.5,61.5,,,,,27,,,,27,,,,,,,,
28,1.5,63,,,0.171,,28,,0.867,,28,,4.5,,,,,,
29,1.5,64.5,,,,,29,0.78,1.54,,29,13.6,9.92,,,,,,
30,1.5,66,,1.16,0.684,,30,3.1,2.74,,30,51.0,16.1,,,,,,
31,1.5,67.5,,,,,31,14.5,4.3,,31,185.0,27,,,,,,
32,1.5,69,0.83,5.28,2.07,0.096,32,17.7,7.23,0.17,32,195.0,43.4,,,,,,
33,1.5,70.5,,,,,33,14.6,7.87,0.193,33,139.0,45.6,,,,,,
34,1.5,72,1.67,6.99,3.19,0.22,34,15.7,7.97,0.44,34,111.0,38.8,,,,,,
35,1.5,73.5,,,,,35,32.7,10.7,0.697,35,115.0,34.6,,,,,,
36,1.5,75,3.33,25.4,8.09,1.77,36,57.0,17.2,1.23,36,142.0,41.4,,36,2.5,23.6,6.89,1.83
37,1.5,76.5,,,,,37,101.0,22,2.67,37,234.0,63.8,2.46,,1,24.1,,
38,1.5,78,5,51.1,18.2,4.65,38,118.0,31.9,7.13,38,346.0,100,6.98,,0.5,28.3,9.1,-99
39,1.5,79.5,,,,,39,155.0,47.7,10.2,39,426.0,116,11.2,,,,,
40,1.5,81,6.67,100,32.8,6.75,40,213.0,61,14.3,40,482.0,104,6.18,,,,,
41,1.5,82.5,,,,,41,211.0,74.3,17.4,41,386.0,115,9.78,,,,,
42,1.5,84,7.92,126,43.3,12.0,42,246.0,87.3,26.2,42,396.0,119,9.96,,,,,
43,1.5,85.5,,,,,43,305.0,96.7,26.8,43,375.0,121,11.8,,,,,
44,1.5,87,5.42,162,16.1,14.2,44,315.0,96,24.4,44,380.0,103,16.4,,,,,
45,1.5,88.5,,,,,45,323.0,99,22,45,320.0,76,18.2,,,,,
46,1.5,90,5.83,187,54.9,12.8,46,417.0,112,19.6,46,348.0,76,18.2,46,2.5,138,50.1,10.9
47,1.5,91.5,,,,,47,427.0,97.3,18,47,358.0,56.8,23.0,,1,216,,
48,1.5,93,8.75,191,52.2,11.3,48,413.0,92.7,17.4,48,374.0,46.2,33.8,,0.5,236,56.7,12.2
49,1.5,94.5,,,,,49,397.0,91.7,17.2,49,470.0,32.6,41.0,,,,,
50,1.5,96,9.58,171,42.5,10.4,50,367.0,73.3,11.5,50,464.0,20.8,24.4,,,,,
51,1.5,97.5,,,,,51,263.0,53.3,9.53,51,460.0,22.8,23.0,,,,,
52,1.5,99,4.17,116,30.3,8.2,52,183.0,28.6,5.83,52,422.0,17.9,18.8,,,,,
53,1.5,100.5,,,,,53,160.0,16.8,4.4,53,560.0,10.1,17.2,,,,,
54,1.5,102,5,101,24.5,4.96,54,118.0,9.23,2.5,54,510.0,11.9,7.58,,,,,
55,1.5,103.5,,,,,55,65.7,5.33,1.93,55,426.0,7.12,6.98,,,,,
56,1.5,105,8.33,96.6,20.2,5.58,56,74.0,4.5,3.13,56,246.0,10.3,15.8,56,2.5,61.6,19.8,5.53
57,1.5,106.5,,,,,57,60.7,2.11,3.83,57,124.0,3.4,21.6,,1,108,,
58,1.5,108,5.42,-99,22.3,4.96,58,56.0,1.34,3.83,58,64.0,1.16,23.4,,0.5,125,23.8,5.58
59,1.5,109.5,,,,,59,38.7,0.45,2.97,59,41.6,,20.2,,,,,
60,1.5,111,5,116,22.8,4.41,60,30.7,0.303,0.327,60,18.9,,3.52,,,,,
61,1.5,112.5,,,,,61,28.6,,0.193,61,6.06,,3.12,,,,,
62,1.5,114,0.42,113,21.5,3.84,62,27.8,,,62,4.84,,,,,,,
63,1.5,115.5,,,,,63,37.3,,,63,3.46,,,,,,,
64,1.5,117,2.08,94.5,17.6,3.05,64,37.7,,,64,2.14,,,,,,,
65,1.5,118.5,,,,,65,34.7,,,65,,,,,,,,
66,1.5,120,1.25,94.2,14.2,2.69,66,23.4,,,66,,,,66,2.5,64.9,13.8,2.71
67,1.5,121.5,,,,,67,27.8,,,67,,,,,1,105,,
68,1.5,123,2.92,71.3,16.5,1.93,68,15.7,,,68,,,,,0.5,112,15.0,2.59
69,1.5,124.5,,,,,69,25.0,,,69,,,,,,,,
70,1.5,126,2.08,51.9,6.86,0.95,70,18.8,,,70,,,,,,,,
71,1.5,127.5,,,,,71,13.2,,,71,,,,,,,,
72,1.5,129,2.5,29.4,4.25,0.61,72,4.53,,,72,,,,,,,,
73,1.5,130.5,,,,,73,1.43,,,73,,,,,,,,
74,1.5,132,2.08,9,3.63,0.41,74,0.45,,,74,,,,,,,,
75,1.5,133.5,,,,,75,0.34,,,75,,,,,,,,
76,1.5,135,2.08,8.14,2.3,0.197,76,,,,76,,,,76,2.5,5.97,1.89,0.235
77,1.5,136.5,,,,,77,,,,77,,,,,1,10,,
78,1.5,138,0.42,8.31,1.16,,78,,,,78,,,,,0.5,11,2.41,0.153
79,1.5,139.5,,,,,79,,,,79,,,,,,,,
80,1.5,141,,3.43,1.37,,80,,,,80,,,,,,,,
81,1.5,142.5,,,,,81,,,,81,,,,,,,,
82,1.5,144,0.83,2.94,0.344,,82,,,,82,,,,,,,,
83,1.5,145.5,,,,,83,,,,83,,,,,,,,
84,1.5,147,0.42,4.62,0.253,,84,,,,84,,,,,,,,
85,1.5,148.5,,,,,85,,,,85,,,,,,,,
86,1.5,150,,5.68,,,86,,,,86,,,,86,2.5,4.09,,
87,1.5,151.5,,,,,87,,,,87,,,,,1,5.8,,
88,1.5,153,,2.47,,,88,,,,88,,,,,0.5,4.56,,
89,1.5,154.5,,,,,89,,,,89,,,,,,,,
90,1.5,156,,0.11,,,90,,,,90,,,,,,,,
91,1.5,157.5,,,,,91,,,,91,,,,,,,,
92,1.5,159,,0.321,,,92,,,,92,,,,,,,,
93,1.5,160.5,,,,,93,,,,93,,,,,,,,
Run 5
31,1.5,67.5,,,,,31,,,,31,,,,,,,,
32,1.5,69,0.42,,,,32,,,,32,,,,,,,,
33,1.5,70.5,,,,,33,,,,33,,,,,,,,
34,1.5,72,,,,,34,,,,34,,,,,,,,
35,1.5,73.5,,,,,35,,,,35,,,,,,,,
36,1.5,75,,,,,36,,,,36,,,,,,,,
37,1.5,76.5,,,,,37,,,,37,,,,,,,,
38,1.5,78,0.42,,,,38,,,,38,,,,,,,,
39,1.5,79.5,,,,,39,,,,39,,,,,,,,
40,1.5,81,0.83,1.28,,,40,,,,40,,,,,,,,
41,1.5,82.5,,,,,41,,,,41,,,,,,,,
42,1.5,84,1.24,5.56,,,42,,,,42,,,,,,,,
43,1.5,85.5,,,,,43,0.367,,,43,,,,,,,,
44,1.5,87,2.9,21.9,0.17,,44,1.99,,,44,5.6,,,,,,,
45,1.5,88.5,,,,,45,8.17,,,45,43.6,,,,,,,
46,1.5,90,3.32,41.4,6.88,,46,14.3,1.15,,46,38.0,5.9,,46,2.5,18.3,3.33,
47,1.5,91.5,,,,,47,19.0,2.19,,47,10.1,12.3,,,1,71.3,,
48,1.5,93,7.88,106,15.3,,48,23.0,8.4,,48,8.28,42.32,,,0.5,112,6.15,
49,1.5,94.5,,,,,49,12.5,13.2,0.17,49,13.9,63.2,,,,,,
50,1.5,96,9.13,190,77.5,2.11,50,26.1,16.3,1.79,50,25.6,53,,,,,,
51,1.5,97.5,,,,,51,26.7,40.3,2.42,51,65.6,79.8,,,,,,
52,1.5,99,9.96,317,189,20.3,52,163.0,132,9.37,52,170.0,252,7.72,,,,,
53,1.5,100.5,,,,,53,229.0,192,25.2,53,206.0,332,26.4,,,,,
54,1.5,102,14.52,325,273,103.0,54,300.0,246,69.7,54,294.0,468,23.0,,,,,
55,1.5,103.5,,,,,55,393.0,253,60.7,55,486.0,400,24.2,,,,,
56,1.5,105,18.25,424,283,137.0,56,413.0,243,74.3,56,528.0,476,19.7,56,2.5,141,147.0,104
57,1.5,106.5,,,,,57,557.0,284,67.3,57,652.0,442,22.8,,1,783,,
58,1.5,108,8.3,494,256,75.5,58,640.0,272,46,58,592.0,370,8.54,,0.5,1225,482.0,158
59,1.5,109.5,,,,,59,633.0,294,14.5,59,484.0,296,6.2,,,,,
60,1.5,111,6.64,427,209,30.8,60,407.0,258,4.87,60,464.0,175,2.8,,,,,
61,1.5,112.5,,,,,61,390.0,161,0.713,61,232.0,19.3,1.2,,,,,
62,1.5,114,7.88,386,70.8,2.24,62,450.0,116,0.187,62,121.0,,,,,,,
63,1.5,115.5,,,,,63,343.0,68.7,,63,39.0,,,,,,,
64,1.5,117,2.9,283,19.8,0.344,64,317.0,26.7,,64,14.8,,,,,,,
65,1.5,118.5,,,,,65,238.0,10,,65,1.03,,,,,,,
66,1.5,120,3.32,121,2.47,,66,203.0,2.28,,66,,,,2.5,59.6,1.87,,
67,1.5,121.5,,,,,67,142.0,0.24,,67,,,,1,161,,,
68,1.5,123,0.83,19.9,0.671,,68,20.6,0.177,,68,,,,0.5,264,1.7,,
69,1.5,124.5,,,,,69,4.3,0.15,,69,,,,,,,,
70,1.5,126,0.42,0.737,0.239,,70,0.363,0.49,,70,,,,,,,,
71,1.5,127.5,,,,,71,,,,71,,,,,,,,
72,1.5,129,0.42,0.385,0.16,,72,,,,72,,,,,,,,
73,1.5,130.5,,,,,73,,,,73,,,,,,,,
74,1.5,132,0.42,,0.166,,74,,,,74,,,,,,,,
75,1.5,133.5,,,,,75,,,,75,,,,,,,,
Run 6
25,1.5,58.5,,,,,25,,,,25,,,,,,,,
26,1.5,60,0.83,,,,26,,,,26,,,,,,,,
27,1.5,61.5,,,,,27,,,,27,,,,,,,,
28,1.5,63,2.08,,,,28,,,,28,,,,,,,,
29,1.5,64.5,,,,,29,,,,29,,,,,,,,
30,1.5,66,1.25,1,,,30,,,,30,,,,,,,,
31,1.5,67.5,,,,,31,,,,31,,,,,,,,
32,1.5,69,2.92,5.27,,,32,1.1,,,32,,,,,,,,
33,1.5,70.5,,,,,33,2.47,,,33,,,,,,,,
34,1.5,72,5.42,14.3,,,34,4.9,,,34,2.76,,,,,,,
35,1.5,73.5,,,,,35,6.07,,,35,12.9,,,,,,,
36,1.5,75,3.33,17.4,0.433,,36,9.63,,,36,17.7,,,36,2.5,12.5,0.28,
37,1.5,76.5,,,,,37,19.0,0.21,,37,31.2,,,,1,17.2,,
38,1.5,78,11.25,35.1,1.33,0.039,38,60.0,1.04,,38,34.6,,,,0.5,16.4,0.351,
39,1.5,79.5,,,,,39,110.0,2.82,,39,104.0,0.88,,,,,,
40,1.5,81,7.08,65.8,8.69,0.562,40,146.0,8.77,0.087,40,192.0,1.74,,,,,,
41,1.5,82.5,,,,,41,191.0,19,0.36,41,332.0,1.78,,,,,,
42,1.5,84,8.33,107,26.3,2.79,42,273.0,37.7,1.57,42,316.0,1.44,,,,,,
43,1.5,85.5,,,,,43,269.0,53.7,3.14,43,298.0,1.02,,,,,,
44,1.5,87,7.08,147,50.7,8.9,44,324.0,92.3,10.5,44,318.0,8.56,1.28,,,,,
45,1.5,88.5,,,,,45,326.0,131,17.2,45,272.0,16.4,7.16,,,,,
46,1.5,90,11.67,205,62.1,19.6,46,387.0,136,36.3,46,362.0,28.4,15.5,46,2.5,105,45.7,17.1
47,1.5,91.5,,,,,47,530.0,156,51.3,47,432.0,44,12.3,,1,268,,
48,1.5,93,10.42,268,89.9,28.4,48,493.0,166,54.3,48,402.0,98.2,11.5,,0.5,330,73.1,20
49,1.5,94.5,,,,,49,383.0,166,52.3,49,460.0,188,21.0,,,,,
50,1.5,96,7.91,241,79.7,20.5,50,306.0,116,37,50,380.0,196,23.6,,,,,
51,1.5,97.5,,,,,51,183.0,76.3,19.6,51,254.0,162,22.4,,,,,
52,1.5,99,6.67,210,64.3,16.1,52,163.0,66.7,14,52,226.0,210,13.7,,,,,
53,1.5,100.5,,,,,53,123.0,54.7,11.7,53,240.0,194,14.5,,,,,
54,1.5,102,5.42,186,55.3,14.5,54,115.0,32.4,7.27,54,252.0,102,14.7,,,,,
55,1.5,103.5,,,,,55,58.0,24.4,2.14,55,32.4,99.4,3.02,,,,,
56,1.5,105,3.75,174,50.7,11.8,56,37.3,13.6,1.06,56,13.4,54.2,,56,2.5,102,44.0,11.7
57,1.5,106.5,,,,,57,9.07,5,0.343,57,1.62,16,,,1,222,,
58,1.5,108,0.83,145,38.5,8.43,58,4.47,2.32,,58,1.18,8.4,,,0.5,269,61.7,12.1
59,1.5,109.5,,,,,59,1.77,0.86,,59,,1.86,,,,,,
60,1.5,111,1.67,88.3,20.1,3.68,60,1.37,0.407,,60,,1.12,,,,,,
61,1.5,112.5,,,,,61,0.547,,,61,,,,,,,,
62,1.5,114,1.25,37.9,8.79,0.662,62,0.123,,,62,,,,,,,,
63,1.5,115.5,,,,,63,0.183,,,63,,,,,,,,
64,1.5,117,0.42,11.5,1.64,0.2,64,0.32,,,64,,,,,,,,
65,1.5,118.5,,,,,65,,,,65,,,,,,,,
66,1.5,120,,2.71,0.102,,66,,,,66,,,,66,2.5,2.96,0.092,
67,1.5,121.5,,,,,67,,,,67,,,,,1,1.61,,
68,1.5,123,,0.442,,,68,,,,68,,,,,0.5,1,0.046,
69,1.5,124.5,,,,,69,,,,69,,,,,,,,
70,1.5,126,,0.056,,,70,,,,70,,,,,,,,
71,1.5,127.5,,,,,71,,,,71,,,,,,,,
